Sample	Sym_Num	Sym_ID	Env	Time	Rep	A_Count	B_Count	D_Count	Total_Count	Per_A	Per_B	Per_D	Log_A	Log_B	Log_D	Log_Total
508	2	BD	Dark	1	1	0	0	1666	1666	0	0	100	0	0	3.222	3.222
509	2	BD	Dark	1	1	0	0	435	435	0	0	100	0	0	2.638	2.638
510	2	BD	Dark	1	1	0	0	184	184	0	0	100	0	0	2.265	2.265
646	2	BD	Dark	1	2	0	2129	419	2548	0	83.6	16.4	0	3.328	2.622	3.406
648	2	BD	Dark	1	2	0	0	517	517	0	0	100	0	0	2.714	2.714
649	2	BD	Dark	1	2	0	466	1211	1677	0	27.8	72.2	0	2.669	3.083	3.225
650	2	BD	Dark	1	2	0	5797	3395	9192	0	63.1	36.9	0	3.763	3.531	3.963
782	2	BD	Dark	1	3	0	0	345	345	0	0	100	0	0	2.537	2.537
786	2	BD	Dark	1	3	0	0	58	58	0	0	100	0	0	1.763	1.763
788	2	BD	Dark	1	3	0	1139	3432	4571	0	24.9	75.1	0	3.057	3.536	3.66
789	2	BD	Dark	1	3	0	0	6465	6465	0	0	100	0	0	3.811	3.811
790	2	BD	Dark	1	3	0	2925	0	2925	0	100	0	0	3.466	0	3.466
492	2	BD	Light	1	1	0	206	227	433	0	47.6	52.4	0	2.315	2.356	2.637
498	2	BD	Light	1	1	0	0	5883	5883	0	0	100	0	0	3.77	3.77
499	2	BD	Light	1	1	0	871	395	1267	0	68.8	31.2	0	2.94	2.597	3.103
500	2	BD	Light	1	1	0	979	32752	33731	0	2.9	97.1	0	2.991	4.515	4.528
632	2	BD	Light	1	2	0	1306	0	1306	0	100	0	0	3.116	0	3.116
636	2	BD	Light	1	2	0	8906	34136	43042	0	20.7	79.3	0	3.95	4.533	4.634
638	2	BD	Light	1	2	0	0	14140	14140	0	0	100	0	0	4.15	4.15
639	2	BD	Light	1	2	0	0	27634	27634	0	0	100	0	0	4.441	4.441
640	2	BD	Light	1	2	0	5607	7692	13299	0	42.2	57.8	0	3.749	3.886	4.124
772	2	BD	Light	1	3	0	0	547	547	0	0	100	0	0	2.738	2.738
776	2	BD	Light	1	3	0	3625	355	3979	0	91.1	8.9	0	3.559	2.55	3.6
779	2	BD	Light	1	3	0	2843	19453	22296	0	12.8	87.2	0	3.454	4.289	4.348
780	2	BD	Light	1	3	0	20959	21928	42888	0	48.9	51.1	0	4.321	4.341	4.632
922	2	BD	Dark	2	1	0	1889	689	2579	0	73.3	26.7	0	3.276	2.839	3.411
926	2	BD	Dark	2	1	0	4054	2971	7024	0	57.7	42.3	0	3.608	3.473	3.847
928	2	BD	Dark	2	1	0	4588	2456	7044	0	65.1	34.9	0	3.662	3.39	3.848
929	2	BD	Dark	2	1	0	4543	338	4881	0	93.1	6.9	0	3.657	2.529	3.689
930	2	BD	Dark	2	1	0	1316	318	1634	0	80.6	19.4	0	3.119	2.502	3.213
1182	2	BD	Dark	2	2	0	3191	3776	6967	0	45.8	54.2	0	3.504	3.577	3.843
1186	2	BD	Dark	2	2	0	0	75563	75563	0	0	100	0	0	4.878	4.878
1202	2	BD	Dark	2	3	0	1489	379	1868	0	79.7	20.3	0	3.173	2.579	3.271
